 x_1         f_x1     grad_x1       x_1_step   
4.82359e-01  -4.82359e-01  -1.00000e+00  1.70869e-04  
4.82257e-01  1.44677e+00  3.00000e+00  1.02171e-04  
4.82010e-01  -4.82010e-01  -1.00000e+00  2.46695e-04  
4.81839e-01  -4.81839e-01  -1.00000e+00  1.70889e-04  
4.81737e-01  1.44521e+00  3.00000e+00  1.02171e-04  
4.81490e-01  -4.81490e-01  -1.00000e+00  2.46751e-04  
4.81319e-01  -4.81319e-01  -1.00000e+00  1.70908e-04  
4.81217e-01  1.44365e+00  3.00000e+00  1.02171e-04  
4.80970e-01  -4.80970e-01  -1.00000e+00  2.46805e-04  
4.80799e-01  -4.80799e-01  -1.00000e+00  1.70926e-04  
4.80697e-01  1.44209e+00  3.00000e+00  1.02171e-04  
4.80450e-01  -4.80450e-01  -1.00000e+00  2.46855e-04  
4.80279e-01  -4.80279e-01  -1.00000e+00  1.70944e-04  
4.80177e-01  1.44053e+00  3.00000e+00  1.02171e-04  
4.79930e-01  -4.79930e-01  -1.00000e+00  2.46903e-04  
4.79759e-01  -4.79759e-01  -1.00000e+00  1.70960e-04  
4.79657e-01  1.43897e+00  3.00000e+00  1.02171e-04  
4.79410e-01  -4.79410e-01  -1.00000e+00  2.46948e-04  
4.79239e-01  -4.79239e-01  -1.00000e+00  1.70975e-04  
4.79137e-01  1.43741e+00  3.00000e+00  1.02171e-04  
4.78890e-01  -4.78890e-01  -1.00000e+00  2.46991e-04  
4.78719e-01  -4.78719e-01  -1.00000e+00  1.70990e-04  
4.78617e-01  1.43585e+00  3.00000e+00  1.02171e-04  
4.78370e-01  -4.78370e-01  -1.00000e+00  2.47032e-04  
4.78199e-01  -4.78199e-01  -1.00000e+00  1.71004e-04  
4.78097e-01  1.43429e+00  3.00000e+00  1.02171e-04  
4.77850e-01  -4.77850e-01  -1.00000e+00  2.47071e-04  
4.77679e-01  -4.77679e-01  -1.00000e+00  1.71017e-04  
4.77576e-01  1.43273e+00  3.00000e+00  1.02171e-04  
4.77329e-01  -4.77329e-01  -1.00000e+00  2.47108e-04  
4.77158e-01  -4.77158e-01  -1.00000e+00  1.71030e-04  
4.77056e-01  1.43117e+00  3.00000e+00  1.02171e-04  
4.76809e-01  -4.76809e-01  -1.00000e+00  2.47144e-04  
4.76638e-01  -4.76638e-01  -1.00000e+00  1.71042e-04  
4.76536e-01  1.42961e+00  3.00000e+00  1.02171e-04  
4.76289e-01  -4.76289e-01  -1.00000e+00  2.47177e-04  
4.76117e-01  -4.76117e-01  -1.00000e+00  1.71054e-04  
4.76015e-01  1.42805e+00  3.00000e+00  1.02171e-04  
4.75768e-01  -4.75768e-01  -1.00000e+00  2.47210e-04  
4.75597e-01  -4.75597e-01  -1.00000e+00  1.71065e-04  
4.75495e-01  1.42648e+00  3.00000e+00  1.02171e-04  
4.75248e-01  -4.75248e-01  -1.00000e+00  2.47240e-04  
4.75077e-01  -4.75077e-01  -1.00000e+00  1.71075e-04  
4.74974e-01  1.42492e+00  3.00000e+00  1.02171e-04  
4.74727e-01  -4.74727e-01  -1.00000e+00  2.47270e-04  
4.74556e-01  -4.74556e-01  -1.00000e+00  1.71085e-04  
4.74454e-01  1.42336e+00  3.00000e+00  1.02171e-04  
4.74207e-01  -4.74207e-01  -1.00000e+00  2.47298e-04  
4.74035e-01  -4.74035e-01  -1.00000e+00  1.71095e-04  
4.73933e-01  1.42180e+00  3.00000e+00  1.02171e-04  
4.73686e-01  -4.73686e-01  -1.00000e+00  2.47325e-04  
4.73515e-01  -4.73515e-01  -1.00000e+00  1.71104e-04  
4.73413e-01  1.42024e+00  3.00000e+00  1.02171e-04  
4.73165e-01  -4.73165e-01  -1.00000e+00  2.47351e-04  
4.72994e-01  -4.72994e-01  -1.00000e+00  1.71113e-04  
4.72892e-01  1.41868e+00  3.00000e+00  1.02171e-04  
4.72645e-01  -4.72645e-01  -1.00000e+00  2.47376e-04  
4.72474e-01  -4.72474e-01  -1.00000e+00  1.71122e-04  
4.72371e-01  1.41711e+00  3.00000e+00  1.02171e-04  
4.72124e-01  -4.72124e-01  -1.00000e+00  2.47400e-04  
4.71953e-01  -4.71953e-01  -1.00000e+00  1.71130e-04  
4.71851e-01  1.41555e+00  3.00000e+00  1.02171e-04  
4.71603e-01  -4.71603e-01  -1.00000e+00  2.47423e-04  
4.71432e-01  -4.71432e-01  -1.00000e+00  1.71138e-04  
4.71330e-01  1.41399e+00  3.00000e+00  1.02171e-04  
4.71083e-01  -4.71083e-01  -1.00000e+00  2.47445e-04  
4.70911e-01  -4.70911e-01  -1.00000e+00  1.71145e-04  
